PostNumber,DiseaseId,DiseaseName,SymptomId,SymptomName,TreatmentId,TreatmentName,DrugId,DrugName,BodypartId,BodypartName
127,,,C0009806,Constipation,,,,,,
127,,,C0857027,Feeling Sick,,,,,,
127,,,C1291077,Abdominal bloating,,,,,,
127,,,C0030193,Pain,,,,,,
127,,,C1579931,Depressed - symptom,,,,,,
127,,,,,,,,,C1278920,Entire stomach
127,,,,,,,,,C1280698,Entire throat (surface region of neck)
130,C0042870,Vitamin D Deficiency,,,,,,,,
131,C0311213,Dermatitis verrucosa,,,,,,,,
131,,,C0039070,Syncope,,,,,,
131,,,C0221232,Welts,,,,,,
131,,,,,C0152054,Therapeutic tactile stimulation,,,,
134,C0011849,Diabetes Mellitus,,,,,,,,
136,C0011847,Diabetes,,,,,,,,
137,C0013595,Eczema,,,,,,,,
138,C0013595,Eczema,,,,,,,,
138,,,C0270996,Eye swelling,,,,,,
138,,,,,,,,,C1281591,Entire face
139,C0013595,Eczema,,,,,,,,
139,,,C0015230,Exanthema,,,,,,
139,,,,,,,,,C1281590,Entire head
139,,,,,,,,,C0024687,Mandible
139,,,,,,,,,C0028429,Nose
140,C0013595,Eczema,,,,,,,,
140,,,C0015230,Exanthema,,,,,,
140,,,C0234233,Sore to touch,,,,,,
140,,,,,C0074125,bleomycin/doxorubicin/lomustine/streptozocin protocol,,,,
140,,,,,,,,,C1281590,Entire head
140,,,,,,,,,C0018494,Hair
141,C0013595,Eczema,,,,,,,,
141,,,,,C0150141,Bathing,,,,
142,C0013595,Eczema,,,,,,,,
142,,,C0015230,Exanthema,,,,,,
142,,,C0033774,Pruritus,,,,,,
142,,,,,C0191922,Reduction mammaplasty,,,,
142,,,,,,,,,C1280732,Entire nipple
142,,,,,,,,,C0923381,Skin of left nipple
142,,,,,,,,,C1268990,Entire breast
143,C0013595,Eczema,,,,,,,,
143,,,C0015230,Exanthema,,,,,,
143,,,C0033774,Pruritus,,,,,,
143,,,C3714552,Weakness,,,,,,
143,,,C0028084,Nightmares,,,,,,
143,,,,,C0152060,Transection (procedure),,,,
143,,,,,C0040808,Treatment Protocols,,,,
143,,,,,,,,,C1281590,Entire head
144,C0013595,Eczema,,,,,,,,
144,,,,,C0087111,Therapeutic procedure,,,,
145,C0013595,Eczema,,,,,,,,
145,,,,,,,,,C1278920,Entire stomach
146,C0013595,Eczema,,,,,,,,
146,,,,,,,,,C0015392,Eye
147,C0013595,Eczema,,,,,,,,
147,,,,,C3275067,Cardiac Lead Procedure,,,,
148,C0013595,Eczema,,,,,,,,
148,,,C0015230,Exanthema,,,,,,
148,,,C0033774,Pruritus,,,,,,
149,C0549150,Pseudofolliculitis barbae (disorder),,,,,,,,
149,,,C0151908,Dry skin,,,,,,
149,,,,,,,,,C1268255,Entire right upper arm
150,C0011603,Dermatitis,,,,,,,,
150,,,C0848332,Spots on skin,,,,,,
150,,,C0015230,Exanthema,,,,,,
150,,,C0033774,Pruritus,,,,,,
150,,,C0220870,Lightheadedness,,,,,,
150,,,,,,,C0357915,Urea cream,,
150,,,,,,,,,C1281590,Entire head
150,,,,,,,,,C1281586,Entire thigh
150,,,,,,,,,C0022742,Knee
151,C0013595,Eczema,,,,,,,,
151,,,C0518214,Perceived quality of life,,,,,,
151,,,,,C0339897,Transjugular intrahepatic portosystemic shunt procedure,,,,
151,,,,,C3275067,Cardiac Lead Procedure,,,,
151,,,,,,,,,C0003461,Anus
152,C0013595,Eczema,,,,,,,,
152,,,C0221423,Illness (finding),,,,,,
152,,,C0033774,Pruritus,,,,,,
152,,,C0151908,Dry skin,,,,,,
152,,,C0239589,Pain in finger,,,,,,
152,,,,,C0152054,Therapeutic tactile stimulation,,,,
152,,,,,,,,,C0018563,Hand
152,,,,,,,,,C0018494,Hair
153,C0013595,Eczema,,,,,,,,
153,,,,,,,,,C0018563,Hand
154,C0013595,Eczema,,,,,,,,
154,,,C0033774,Pruritus,,,,,,
154,,,,,C0150141,Bathing,,,,
154,,,,,,,,,C1281591,Entire face
154,,,,,,,,,C0242386,Udder
154,,,,,,,,,C0016504,Foot
155,C0013595,Eczema,,,,,,,,
155,,,C0221423,Illness (finding),,,,,,
155,,,C1442877,Sore skin,,,,,,
155,,,C0857057,blotchy,,,,,,
155,,,C0033774,Pruritus,,,,,,
155,,,,,,,,,C1269612,Entire upper arm
155,,,,,,,,,C0018563,Hand
155,,,,,,,,,C0229962,Body part
156,C0013595,Eczema,,,,,,,,
156,,,,,,,,,C1269612,Entire upper arm
157,C0013595,Eczema,,,,,,,,
158,C0013595,Eczema,,,,,,,,
159,C0730321,Punctate inner choroidopathy,,,,,,,,
159,,,C0948786,Blanching,,,,,,
159,,,C0231218,Malaise,,,,,,
159,,,C0030193,Pain,,,,,,
159,,,,,,,,,C0222224,Skin structure of hand
160,C0013595,Eczema,,,,,,,,
160,,,C0033774,Pruritus,,,,,,
161,C0013595,Eczema,,,,,,,,
162,C0013595,Eczema,,,,,,,,
162,,,C0033774,Pruritus,,,,,,
162,,,,,C1959633,Spatial guidance for medical procedure,,,,
162,,,,,,,,,C0829256,Skin of right leg
163,C0013595,Eczema,,,,,,,,
163,,,C0033774,Pruritus,,,,,,
163,,,,,C2003844,Shampooing (action),,,,
163,,,,,,,C0774927,coal tar shampoo,,
163,,,,,,,,,C0036270,Scalp structure
164,C0013595,Eczema,,,,,,,,
164,,,,,,,,,C0030851,penis
165,C0013595,Eczema,,,,,,,,
165,,,C0033774,Pruritus,,,,,,
165,,,,,C0152277,Incision and drainage,,,,
165,,,,,C2003844,Shampooing (action),,,,
166,C0013595,Eczema,,,,,,,,
166,,,C0849640,skin damage,,,,,,
166,,,C0033774,Pruritus,,,,,,
166,,,C0239313,exercise induced,,,,,,
166,,,,,C0152277,Incision and drainage,,,,
166,,,,,C1519433,Special Diet Therapy,,,,
166,,,,,C1522704,Exercise Pain Management,,,,
166,,,,,C0087111,Therapeutic procedure,,,,
166,,,,,,,,,C0222155,Skin structure of back
166,,,,,,,,,C1281591,Entire face
166,,,,,,,,,C0028429,Nose
167,C0013595,Eczema,,,,,,,,
168,C0013595,Eczema,,,,,,,,
168,,,,,C0069290,OAP protocol,,,,
168,,,,,C0087111,Therapeutic procedure,,,,
168,,,,,C2003844,Shampooing (action),,,,
168,,,,,,,,,C1278997,Entire scalp
168,,,,,,,,,C1278896,Entire nose
168,,,,,,,,,C0521421,Entire ear
169,C0013595,Eczema,,,,,,,,
169,,,C0015230,Exanthema,,,,,,
169,,,,,C2003844,Shampooing (action),,,,
170,C0013595,Eczema,,,,,,,,
170,,,C0033774,Pruritus,,,,,,
170,,,,,C0087111,Therapeutic procedure,,,,
170,,,,,,,C0358902,fucidin cream,,
170,,,,,,,,,C0230347,Left upper arm structure
170,,,,,,,,,C0018563,Hand
170,,,,,,,,,C1268255,Entire right upper arm
171,C0948672,Venous lake,,,,,,,,
171,,,C0036572,Seizures,,,,,,
171,,,C0240194,Blue lips,,,,,,
171,,,C0234233,Sore to touch,,,,,,
171,,,,,C0013103,Drainage procedure,,,,
172,C0013595,Eczema,,,,,,,,
172,,,C0030193,Pain,,,,,,
172,,,,,,,,,C1281584,Entire finger
175,C0796085,Nance-Horan syndrome,,,,,,,,
176,C0311213,Dermatitis verrucosa,,,,,,,,
176,,,C0033774,Pruritus,,,,,,
176,,,,,,,,,C1269612,Entire upper arm
176,,,,,,,,,C0018563,Hand
180,C0018621,Hay fever,,,,,,,,
180,,,C0015230,Exanthema,,,,,,
180,,,,,C0086153,Dietary Modification,,,,
180,,,,,,,,,C1269078,Entire upper limb
181,C0018621,Hay fever,,,,,,,,
181,,,C0015230,Exanthema,,,,,,
187,C0004135,Ataxia Telangiectasia,,,,,,,,
187,,,C0221423,Illness (finding),,,,,,
187,,,C0027497,Nausea,,,,,,
187,,,C0020175,Hunger,,,,,,
187,,,,,C0700589,Contraceptive methods,,,,
189,C0272285,Heparin-induced thrombocytopenia,,,,,,,,
189,,,C0030193,Pain,,,,,,
189,,,,,,,,,C0018563,Hand
189,,,,,,,,,C0222265,Skin structure of all fingers
189,,,,,,,,,C1281584,Entire finger
189,,,,,,,,,C0947619,Finger.right
189,,,,,,,,,C0934502,anatomical layer
201,C0742960,cyst benign,,,,,,,,
201,,,,,C0015252,removal technique,,,,
201,,,,,C0278286,Dressing of skin or wound,,,,
201,,,,,C0150141,Bathing,,,,
205,C0311213,Dermatitis verrucosa,,,,,,,,
205,,,C0015230,Exanthema,,,,,,
205,,,C0033774,Pruritus,,,,,,
207,C0796085,Nance-Horan syndrome,,,,,,,,
207,,,,,C0009244,Cognitive Therapy,,,,
207,,,,,C0087111,Therapeutic procedure,,,,
210,C3280240,MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME,,,,,,,,
210,,,,,C1522704,Exercise Pain Management,,,,
214,C0270724,Infantile Neuroaxonal Dystrophy,,,,,,,,
214,,,,,C0013103,Drainage procedure,,,,
214,,,,,C0947647,Manipulation procedure,,,,
214,,,,,C0087111,Therapeutic procedure,,,,
214,,,,,C3275067,Cardiac Lead Procedure,,,,
216,C0272285,Heparin-induced thrombocytopenia,,,,,,,,
216,,,C0008031,Chest Pain,,,,,,
216,,,,,,,,,C0929370,Intralobular part of terminal lactiferous duct
216,,,,,,,,,C1281590,Entire head
216,,,,,,,,,C0006104,Brain
216,,,,,,,,,C1279153,Entire cheek
216,,,,,,,,,C0521421,Entire ear
225,C0014518,Toxic Epidermal Necrolysis,,,,,,,,
225,,,,,C0580105,Change of medication,,,,
225,,,,,C0152277,Incision and drainage,,,,
225,,,,,,,,,C0262950,Skeletal bone
231,C0020538,Hypertensive disease,,,,,,,,
232,C0342895,Fish-Eye Disease,,,,,,,,
236,C0011860,Diabetes Mellitus| Non-Insulin-Dependent,,,,,,,,
240,C0011849,Diabetes Mellitus,,,,,,,,
240,,,,,,,,,C1280740,Entire scrotum
241,C0011847,Diabetes,,,,,,,,
241,,,,,C1519433,Special Diet Therapy,,,,
242,C0011847,Diabetes,,,,,,,,
242,,,C0795691,HEART PROBLEM,,,,,,
242,,,C3714552,Weakness,,,,,,
242,,,,,,,,,C0018787,Heart
243,C0011847,Diabetes,,,,,,,,
243,,,C0033774,Pruritus,,,,,,
243,,,,,,,,,C0018563,Hand
243,,,,,,,,,C0016504,Foot
244,C0011847,Diabetes,,,,,,,,
244,,,C0036572,Seizures,,,,,,
244,,,C2242996,Has tingling sensation,,,,,,
244,,,C0030193,Pain,,,,,,
244,,,,,C0021485,Injection of therapeutic agent,,,,
244,,,,,C0454348,Back exercises,,,,
245,C0362046,Prediabetes syndrome,,,,,,,,
246,C0011847,Diabetes,,,,,,,,
246,,,C0234233,Sore to touch,,,,,,
246,,,,,,,,,C0023759,Lip structure
247,C0011849,Diabetes Mellitus,,,,,,,,
247,,,,,C1533685,Injection procedure,,,,
248,C0011847,Diabetes,,,,,,,,
249,C0011847,Diabetes,,,,,,,,
250,C0011847,Diabetes,,,,,,,,
250,,,,,,,,,C0038351,Stomach
251,C0037278,Skin Diseases| Infectious,,,,,,,,
251,,,,,,,,,C0033572,Prostate
252,C0011847,Diabetes,,,,,,,,
253,C0011847,Diabetes,,,,,,,,
254,C0011847,Diabetes,,,,,,,,
254,,,C0028643,Numbness,,,,,,
254,,,C0497406,Overweight,,,,,,
254,,,C0231617,Catch - Finding of sensory dimension of pain,,,,,,
254,,,,,C1519433,Special Diet Therapy,,,,
254,,,,,C1522704,Exercise Pain Management,,,,
254,,,,,C0087111,Therapeutic procedure,,,,
254,,,,,,,,,C0016504,Foot
255,C0011847,Diabetes,,,,,,,,
255,,,,,,,,,C0033572,Prostate
256,C0011847,Diabetes,,,,,,,,
256,,,C0231617,Catch - Finding of sensory dimension of pain,,,,,,
256,,,,,C0087111,Therapeutic procedure,,,,
257,C0240811,prostate infection,,,,,,,,
257,,,C0040822,Tremor,,,,,,
257,,,C0235004,head pressure,,,,,,
257,,,,,,,,,C0018787,Heart
257,,,,,,,,,C0033572,Prostate
257,,,,,,,,,C0015392,Eye
258,C0011847,Diabetes,,,,,,,,
258,,,,,C1519433,Special Diet Therapy,,,,
259,C0011847,Diabetes,,,,,,,,
259,,,C0036572,Seizures,,,,,,
259,,,C0020175,Hunger,,,,,,
259,,,,,C0017296,gene therapy,,,,
259,,,,,C1533685,Injection procedure,,,,
259,,,,,C0087111,Therapeutic procedure,,,,
259,,,,,,,C4027042,Octreotide Injection,,
259,,,,,,,,,C0004895,Beak
259,,,,,,,,,C0006104,Brain
260,C0011847,Diabetes,,,,,,,,
261,C0002871,Anemia,,,,,,,,
261,,,C0221423,Illness (finding),,,,,,
261,,,,,,,,,C1278920,Entire stomach
262,C0362046,Prediabetes syndrome,,,,,,,,
263,C0011849,Diabetes Mellitus,,,,,,,,
263,,,C2242996,Has tingling sensation,,,,,,
263,,,,,C1519433,Special Diet Therapy,,,,
264,C0011847,Diabetes,,,,,,,,
264,,,C0679309,physical symptom,,,,,,
265,C0011847,Diabetes,,,,,,,,
265,,,C0497406,Overweight,,,,,,
265,,,C0027769,Nervousness,,,,,,
265,,,,,C1522704,Exercise Pain Management,,,,
266,C0011847,Diabetes,,,,,,,,
266,,,,,C1519433,Special Diet Therapy,,,,
266,,,,,,,,,C0598782,appendage
266,,,,,,,,,C0040357,Toes
266,,,,,,,,,C0015385,Limb structure
266,,,,,,,,,C1280541,Entire nerve
266,,,,,,,,,C1281591,Entire face
266,,,,,,,,,C0016504,Foot
267,C0011847,Diabetes,,,,,,,,
267,,,,,C0152060,Transection (procedure),,,,
267,,,,,C1522704,Exercise Pain Management,,,,
267,,,,,,,,,C2986716,Quarter of the Udder
267,,,,,,,,,C0262950,Skeletal bone
268,C0011847,Diabetes,,,,,,,,
269,C0011847,Diabetes,,,,,,,,
269,,,C0235309,Upset stomach,,,,,,
269,,,,,C0452340,High sodium diet,,,,
269,,,,,C1519433,Special Diet Therapy,,,,
269,,,,,C0087111,Therapeutic procedure,,,,
269,,,,,C0849164,blood medications,,,,
272,C0011847,Diabetes,,,,,,,,
272,,,C0011991,Diarrhea,,,,,,
272,,,C2129214,Loose stool,,,,,,
273,C0017551,Gilbert Disease (disorder),,,,,,,,
273,,,C0741585,BODY ACHE,,,,,,
273,,,C0557875,Tired,,,,,,
273,,,C0015672,Fatigue,,,,,,
273,,,C0030193,Pain,,,,,,
273,,,,,C0242297,Dietary Supplementation,,,,
273,,,,,C0087111,Therapeutic procedure,,,,
273,,,,,C0086153,Dietary Modification,,,,
274,C0011847,Diabetes,,,,,,,,
279,C0022951,Lactose Intolerance,,,,,,,,
279,,,C0857257,bloated feeling,,,,,,
279,,,C0030193,Pain,,,,,,
279,,,,,,,,,C1281590,Entire head
280,C0042847,Vitamin B 12 Deficiency,,,,,,,,
284,C0162429,Malnutrition,,,,,,,,
284,,,,,,,,,C1281591,Entire face
286,C0017168,Gastroesophageal reflux disease,,,,,,,,
288,C0012634,Disease,,,,,,,,
288,,,C0020175,Hunger,,,,,,
295,C0518988,Dental abscess,,,,,,,,
298,C0014518,Toxic Epidermal Necrolysis,,,,,,,,
298,,,C0231218,Malaise,,,,,,
299,C0518988,Dental abscess,,,,,,,,
299,,,C0240382,mouth swelling,,,,,,
299,,,C0030193,Pain,,,,,,
299,,,C0236000,Jaw pain,,,,,,
299,,,C0234233,Sore to touch,,,,,,
299,,,,,C0185115,Extraction,,,,
299,,,,,C0035849,Root Canal Therapy,,,,
299,,,,,C0011331,Dental Procedures,,,,
299,,,,,,,,,C1305907,Entire deciduous tooth
299,,,,,,,,,C0227093,Deciduous maxillary left first molar tooth
299,,,,,,,,,C1281562,Entire tooth
299,,,,,,,,,C0024204,lymph nodes
299,,,,,,,,,C0040426,Tooth structure
301,C0518988,Dental abscess,,,,,,,,
302,C0518988,Dental abscess,,,,,,,,
302,,,,,,,,,C0227032,Maxillary right third molar
303,C0149871,Deep Vein Thrombosis,,,,,,,,
303,,,C0033774,Pruritus,,,,,,
303,,,C0030193,Pain,,,,,,
303,,,,,C1293510,Stomach injection,,,,
303,,,,,,,C1251857,Calamine Topical Lotion,,
303,,,,,,,,,C0230443,Structure of left lower leg
303,,,,,,,,,C1282987,Skin of anterior surface of crural region
303,,,,,,,,,C1269612,Entire upper arm
304,C0149871,Deep Vein Thrombosis,,,,,,,,
304,,,,,,,,,C0041638,Umbilicus (Anatomy)
304,,,,,,,,,C0016504,Foot
305,C0149871,Deep Vein Thrombosis,,,,,,,,
305,,,C0036572,Seizures,,,,,,
305,,,C0234238,Ache,,,,,,
305,,,C0848168,out (of) breath,,,,,,
305,,,C0039070,Syncope,,,,,,
305,,,C0030193,Pain,,,,,,
305,,,C0220870,Lightheadedness,,,,,,
305,,,C0013404,Dyspnea,,,,,,
305,,,,,,,,,C0022742,Knee
305,,,,,,,,,C1282852,Entire deep vein
305,,,,,,,,,C0005847,Blood Vessel
306,C0149871,Deep Vein Thrombosis,,,,,,,,
306,,,C0037088,Signs and Symptoms,,,,,,
306,,,C0231617,Catch - Finding of sensory dimension of pain,,,,,,
306,,,C0030193,Pain,,,,,,
306,,,,,C0848112,on anti-coagulants,,,,
306,,,,,C0021485,Injection of therapeutic agent,,,,
306,,,,,C1704538,Integrated Neuromusculoskeletal Release,,,,
306,,,,,C1522704,Exercise Pain Management,,,,
306,,,,,C0087111,Therapeutic procedure,,,,
306,,,,,,,,,C1278908,Entire lung
307,C0149871,Deep Vein Thrombosis,,,,,,,,
307,,,,,,,,,C1281586,Entire thigh
308,C0149871,Deep Vein Thrombosis,,,,,,,,
308,,,C0277823,Charleyhorse (finding),,,,,,
308,,,C0026821,Muscle Cramp,,,,,,
308,,,C0030193,Pain,,,,,,
308,,,C0234233,Sore to touch,,,,,,
308,,,,,,,,,C1305418,Entire calf of leg (body structure)
309,C0149871,Deep Vein Thrombosis,,,,,,,,
