Source,Destination,Weight
C0557875,C0039070,6.0
C0557875,C0270996,1.0
C0557875,C0015230,12.0
C0557875,C3714552,44.0
C0557875,C0028084,5.0
C0557875,C0220870,8.0
C0557875,C0518214,2.0
C0557875,C0239313,1.0
C0557875,C0036572,12.0
C0557875,C0008031,8.0
C0557875,C0795691,1.0
C0557875,C0231617,4.0
C0557875,C0040822,21.0
C0557875,C0235004,4.0
C0557875,C0027769,7.0
C0557875,C0235309,2.0
C0557875,C0011991,10.0
C0557875,C0741585,5.0
C0557875,C0848168,1.0
C0557875,C0013404,6.0
C0557875,C0037088,9.0
C0557875,C0026821,9.0
C0557875,C0036396,1.0
C0557875,C0221100,1.0
C0557875,C0085593,6.0
C0557875,C0917801,7.0
C0557875,C0683369,13.0
C0557875,C0086132,1.0
C0557875,C0278141,1.0
C0557875,C0085624,15.0
C0557875,C0037011,2.0
C0557875,C0577573,1.0
C0557875,C0004604,9.0
C0557875,C0241705,1.0
C0557875,C0857516,1.0
C0557875,C0000737,1.0
C0557875,C0032781,1.0
C0557875,C0003862,9.0
C0557875,C0850045,1.0
C0557875,C0234369,4.0
C0557875,C0235240,2.0
C0557875,C0042571,3.0
C0557875,C0600142,2.0
C0557875,C0344232,6.0
C0557875,C0028081,4.0
C0557875,C0522251,2.0
C0557875,C0848633,2.0
C0557875,C0232471,1.0
C0557875,C0023380,4.0
C0557875,C1260880,3.0
C0557875,C0150055,2.0
C0557875,C0235129,2.0
C0557875,C1446787,3.0
C0557875,C0023222,6.0
C0557875,C0040460,1.0
C0557875,C0007859,5.0
C0557875,C0242429,5.0
C0557875,C0235031,1.0
C0557875,C0751295,1.0
C0557875,C1397014,2.0
C0557875,C0849852,1.0
C0557875,C0024031,6.0
C0557875,C0234230,1.0
C0557875,C0596601,2.0
C0557875,C1443924,1.0
C0557875,C0014724,1.0
C0557875,C0019209,1.0
C0557875,C0748706,5.0
C0557875,C0302539,4.0
C0557875,C0344375,4.0
C0557875,C1517205,1.0
C0557875,C0010200,8.0
C0557875,C0037763,4.0
C0557875,C2364135,1.0
C0557875,C0677500,2.0
C0557875,C0234229,2.0
C0557875,C0016382,5.0
C0557875,C0278145,3.0
C0557875,C0566948,1.0
C0557875,C0423736,1.0
C0557875,C0018834,5.0
C0557875,C0043144,1.0
C0557875,C0849959,2.0
C0557875,C0024902,3.0
C0557875,C1321587,2.0
C0557875,C0016204,1.0
C0557875,C0235108,3.0
C0557875,C0439053,1.0
C0557875,C0848290,2.0
C0557875,C0563277,1.0
C0557875,C0574068,3.0
C0557875,C0239377,5.0
C0557875,C0392678,1.0
C0557875,C0425449,2.0
C0557875,C0232487,1.0
C0557875,C0238740,1.0
C0557875,C0558489,1.0
C0557875,C0564820,1.0
C0557875,C0030794,2.0
C0557875,C0232492,1.0
C0557875,C0019559,1.0
C0557875,C0578687,1.0
C0557875,C1282310,1.0
C0557875,C0085631,4.0
C0557875,C0425481,1.0
C0557875,C0278007,1.0
C0557875,C0221785,1.0
C0557875,C0877716,1.0
C0557875,C0575090,1.0
C0557875,C0221758,1.0
C0557875,C0151315,2.0
C0557875,C0015468,2.0
C0557875,C0522359,1.0
C0557875,C0278146,1.0
C0557875,C0178310,1.0
C0557875,C0221170,5.0
C0557875,C0231772,1.0
C0557875,C0564823,3.0
C0557875,C0231217,1.0
C0557875,C0741426,1.0
C0557875,C0312422,3.0
C0557875,C0581879,2.0
C0557875,C0235239,1.0
C0557875,C0812426,1.0
C0557875,C0857072,1.0
C0557875,C0848283,4.0
C0557875,C0151827,1.0
C0557875,C0424489,1.0
C0557875,C0451632,1.0
C0557875,C1377828,1.0
C0557875,C0423693,2.0
C0557875,C0239783,1.0
C0557875,C0427149,1.0
C0557875,C0857051,1.0
C0557875,C0085635,1.0
C0557875,C0034642,1.0
C0557875,C0850674,2.0
C0557875,C0687681,1.0
C0557875,C0231780,1.0
C0557875,C0476288,1.0
C0557875,C0439814,1.0
C0557875,C0850149,1.0
C0557875,C0857126,1.0
C0557875,C0749874,1.0
C0557875,C0857233,1.0
C0557875,C0015644,2.0
C0557875,C0235267,1.0
C0557875,C0849970,3.0
C0557875,C0232849,1.0
C0557875,C0848720,1.0
C0557875,C3665346,1.0
C0557875,C0522365,2.0
C0557875,C0423618,2.0
C0557875,C0858898,1.0
C0557875,C0423636,1.0
C0557875,C0558148,1.0
C0557875,C1704276,3.0
C0557875,C0949445,1.0
C0557875,C0746674,1.0
C0557875,C0520966,1.0
C0557875,C0235050,1.0
C0557875,C0238656,2.0
C0557875,C0009269,1.0
C0557875,C0423006,1.0
C0557875,C0027796,2.0
C0557875,C0746683,1.0
C0557875,C0426601,1.0
C0557875,C0017672,1.0
C0557875,C0241426,1.0
C0557875,C0549299,1.0
C0557875,C0332601,1.0
C0557875,C0240941,1.0
C0557875,C0235162,1.0
C0557875,C0850758,1.0
C0557875,C0522179,1.0
C0557875,C0497293,1.0
C0557875,C0857062,1.0
C0557875,C0234532,1.0
C0557875,C0241050,1.0
C0557875,C0743738,1.0
C0557875,C0233401,1.0
C0557875,C0030201,1.0
C0314719,C0234233,1.0
C0314719,C0015672,2.0
C0314719,C0030193,4.0
C0314719,C0012833,1.0
C0314719,C0392674,1.0
C0314719,C0027497,1.0
C0314719,C0221423,2.0
C0314719,C0042963,1.0
C0314719,C0231218,1.0
C0314719,C2242996,1.0
C0314719,C0231528,1.0
C0314719,C0028643,1.0
C0314719,C0270996,2.0
C0314719,C3714552,2.0
C0314719,C0151908,1.0
C0314719,C0518214,1.0
C0314719,C0040822,1.0
C0314719,C0235004,1.0
C0314719,C0011991,1.0
C0314719,C0037088,2.0
C0314719,C0085624,1.0
C0314719,C0004604,1.0
C0314719,C0003862,3.0
C0314719,C0344232,1.0
C0314719,C0848633,1.0
C0314719,C0232471,1.0
C0314719,C0242429,1.0
C0314719,C0024031,1.0
C0314719,C0234230,1.0
C0314719,C3839047,1.0
C0314719,C0010200,1.0
C0314719,C0677500,2.0
C0314719,C0278145,1.0
C0314719,C0439053,1.0
C0314719,C0019559,1.0
C0314719,C0578687,1.0
C0314719,C0427008,1.0
C0314719,C1306878,1.0
C0314719,C0152031,1.0
C0314719,C0235267,1.0
C0314719,C2370950,1.0
C0314719,C0863079,1.0
C0234233,C0221512,3.0
C0234233,C0015672,16.0
C0234233,C0030193,97.0
C0234233,C0232431,1.0
C0234233,C0013456,1.0
C0234233,C0236000,1.0
C0234233,C0234238,11.0
C0234233,C0012833,4.0
C0234233,C0018681,15.0
C0234233,C0392674,6.0
C0234233,C0027497,14.0
C0234233,C1442877,1.0
C0234233,C0221423,16.0
C0234233,C0042963,5.0
C0234233,C0231218,22.0
C0234233,C0497406,5.0
C0234233,C0020175,2.0
C0234233,C0278148,1.0
C0234233,C2242996,4.0
C0234233,C0239266,1.0
C0234233,C0231528,9.0
C0234233,C0455270,7.0
C0234233,C0028643,3.0
C0234233,C0751372,3.0
C0234233,C2129214,2.0
C0234233,C0009806,4.0
C0234233,C0857027,2.0
C0234233,C1291077,8.0
C0234233,C1579931,5.0
C0234233,C0039070,5.0
C0234233,C0015230,20.0
C0234233,C3714552,19.0
C0234233,C0028084,5.0
C0234233,C0848332,1.0
C0234233,C0220870,4.0
C0234233,C0518214,2.0
C0234233,C0857057,2.0
C0234233,C0036572,5.0
C0234233,C0240194,1.0
C0234233,C0008031,7.0
C0234233,C0231617,4.0
C0234233,C0040822,4.0
C0234233,C0027769,3.0
C0234233,C0235309,2.0
C0234233,C0011991,7.0
C0234233,C0741585,5.0
C0234233,C0240382,1.0
C0234233,C0013404,5.0
C0234233,C0037088,5.0
C0234233,C0277823,1.0
C0234233,C0026821,8.0
C0234233,C0036396,4.0
C0234233,C0236040,2.0
C0234233,C0221100,1.0
C0234233,C0085593,5.0
C0234233,C0917801,2.0
C0234233,C0683369,5.0
C0234233,C0278141,4.0
C0234233,C0085624,17.0
C0234233,C0577573,2.0
C0234233,C0004604,9.0
C0234233,C0241705,1.0
C0234233,C0000737,1.0
C0234233,C0032781,4.0
C0234233,C0003862,5.0
C0234233,C0235234,1.0
C0234233,C0042571,3.0
C0234233,C0600142,1.0
C0234233,C0344232,2.0
C0234233,C0028081,1.0
C0234233,C0027424,2.0
C0234233,C0232471,1.0
C0234233,C0023380,3.0
C0234233,C0700590,1.0
C0234233,C1260880,3.0
C0234233,C0016512,1.0
C0234233,C0235129,4.0
C0234233,C1446787,2.0
C0234233,C0023222,5.0
C0234233,C0007859,6.0
C0234233,C1579838,1.0
C0234233,C0242429,8.0
C0234233,C1397014,1.0
C0234233,C0024031,4.0
C0234233,C0234230,3.0
C0234233,C0596601,1.0
C0234233,C1443924,1.0
C0234233,C0014724,2.0
C0234233,C0019209,1.0
C0234233,C0748706,4.0
C0234233,C1321898,2.0
C0234233,C0520962,2.0
C0234233,C0302539,2.0
C0234233,C0344375,1.0
C0234233,C1517205,1.0
C0234233,C0010200,12.0
C0234233,C0037763,3.0
C0234233,C2364135,2.0
C0234233,C0392171,1.0
C0234233,C0039591,1.0
C0234233,C0677500,4.0
C0234233,C0234229,1.0
C0234233,C0016382,2.0
C0234233,C0241039,2.0
C0234233,C0312414,3.0
C0234233,C0278145,2.0
C0234233,C0013395,2.0
C0234233,C0018834,2.0
C0234233,C0024902,3.0
C0234233,C0016204,1.0
C0234233,C0235108,2.0
C0234233,C0239377,1.0
C0234233,C0238741,1.0
C0234233,C0238740,1.0
C0234233,C0238995,1.0
C0234233,C3257980,1.0
C0234233,C0558489,1.0
C0234233,C0857030,1.0
C0234233,C0030794,3.0
C0234233,C0578687,1.0
C0234233,C1282310,1.0
C0234233,C0085631,1.0
C0234233,C0085636,2.0
C0234233,C0575090,1.0
C0234233,C0233844,1.0
C0234233,C0427008,1.0
C0234233,C0151315,4.0
C0234233,C0278146,1.0
C0234233,C0221170,11.0
C0234233,C0564823,1.0
C0234233,C0231217,2.0
C0234233,C0549248,1.0
C0234233,C0241374,1.0
C0234233,C0231710,1.0
C0234233,C0184567,2.0
C0234233,C0564821,1.0
C0234233,C0236082,1.0
C0234233,C0581879,1.0
C0234233,C0240327,1.0
C0234233,C0234255,1.0
C0234233,C0239886,1.0
C0234233,C0812426,1.0
C0234233,C0848283,2.0
C0234233,C0151827,1.0
C0234233,C0234250,3.0
C0234233,C0451632,1.0
C0234233,C0497481,1.0
C0234233,C0239783,1.0
C0234233,C0581394,1.0
C0234233,C0085635,1.0
C0234233,C0574002,1.0
C0234233,C2188199,1.0
C0234233,C0034642,4.0
C0234233,C0231780,2.0
C0234233,C0231655,2.0
C0234233,C3640015,1.0
C0234233,C0476288,2.0
C0234233,C0848241,1.0
C0234233,C0850630,1.0
C0234233,C0858666,1.0
C0234233,C0033778,1.0
C0234233,C0850149,3.0
C0234233,C0015644,1.0
C0234233,C0232849,1.0
C0234233,C0848720,1.0
C0234233,C0857492,1.0
C0234233,C0858898,1.0
C0234233,C0221776,1.0
C0234233,C2142181,1.0
C0234233,C0239836,1.0
C0234233,C0019825,2.0
C0234233,C0553713,2.0
C0234233,C0426484,1.0
C0234233,C0847550,2.0
C0234233,C0423006,2.0
C0234233,C0013428,1.0
C0234233,C0847554,2.0
C0234233,C0017672,1.0
C0234233,C0549299,1.0
C0234233,C0151830,1.0
C0234233,C0564822,1.0
C0234233,C0239435,1.0
C0234233,C0849911,1.0
C0234233,C0233762,1.0
C0234233,C0234242,1.0
C0234233,C0262397,1.0
C0234233,C0848337,1.0
C0234233,C0863105,1.0
C0234233,C0311222,1.0
C0234233,C2016977,1.0
C0234233,C0030201,1.0
C0221512,C0015672,9.0
C0221512,C0030193,48.0
C0221512,C0234238,4.0
C0221512,C0012833,11.0
C0221512,C0018681,10.0
C0221512,C0392674,6.0
C0221512,C0027497,22.0
C0221512,C0221423,18.0
C0221512,C0042963,9.0
C0221512,C0231218,12.0
C0221512,C0497406,2.0
C0221512,C0020175,4.0
C0221512,C0278148,1.0
C0221512,C0231528,1.0
C0221512,C0278144,1.0
C0221512,C0455270,4.0
C0221512,C2129214,2.0
C0221512,C0151825,1.0
C0221512,C0009806,7.0
C0221512,C0857027,2.0
C0221512,C1291077,12.0
C0221512,C1579931,5.0
C0221512,C0039070,2.0
C0221512,C0015230,4.0
C0221512,C3714552,9.0
C0221512,C0028084,1.0
C0221512,C0518214,2.0
C0221512,C0036572,2.0
C0221512,C0008031,1.0
C0221512,C0795691,1.0
C0221512,C0231617,1.0
C0221512,C0040822,3.0
C0221512,C0027769,2.0
C0221512,C0235309,2.0
C0221512,C0011991,5.0
C0221512,C0013404,3.0
C0221512,C0037088,2.0
C0221512,C0026821,5.0
C0221512,C0085593,2.0
C0221512,C0278141,1.0
C0221512,C0085624,6.0
C0221512,C0577573,1.0
C0221512,C0004604,10.0
C0221512,C0000737,3.0
C0221512,C0003862,4.0
C0221512,C0401149,1.0
C0221512,C0850045,2.0
C0221512,C0600142,1.0
C0221512,C0028081,1.0
C0221512,C0522251,1.0
C0221512,C0023380,1.0
C0221512,C0700590,1.0
C0221512,C0150055,3.0
C0221512,C1446787,3.0
C0221512,C0023222,1.0
C0221512,C0242429,1.0
C0221512,C0877197,1.0
C0221512,C0024031,2.0
C0221512,C0234230,2.0
C0221512,C0596601,2.0
C0221512,C0014724,6.0
C0221512,C1321898,4.0
C0221512,C0302539,2.0
C0221512,C0010200,2.0
C0221512,C0037763,1.0
C0221512,C0438716,1.0
C0221512,C0677500,1.0
C0221512,C0234229,2.0
C0221512,C0016382,1.0
C0221512,C0278145,1.0
C0221512,C0013395,1.0
C0221512,C0018834,2.0
C0221512,C0232292,1.0
C0221512,C1321587,1.0
C0221512,C0016204,5.0
C0221512,C0848290,1.0
C0221512,C0574068,1.0
C0221512,C0851121,1.0
C0221512,C3257980,1.0
C0221512,C0030794,2.0
C0221512,C0019559,1.0
C0221512,C0578687,1.0
C0221512,C1282310,1.0
C0221512,C0278007,3.0
C0221512,C0221785,1.0
C0221512,C0427008,1.0
C0221512,C0015468,1.0
C0221512,C0564823,1.0
C0221512,C0184567,2.0
C0221512,C0812426,1.0
C0221512,C0151827,1.0
C0221512,C2202100,1.0
C0221512,C0850630,1.0
C0221512,C0839480,1.0
C0221512,C0232849,1.0
C0221512,C0458109,1.0
C0221512,C0522365,1.0
C0221512,C2016599,1.0
C0221512,C0236078,1.0
C0221512,C0232495,1.0
C0221512,C0034886,2.0
C0221512,C0853946,1.0
C0221512,C0857062,1.0
C0221512,C0234532,1.0
C0221512,C0018926,1.0
C0221512,C0240352,1.0
C0221512,C0241050,1.0
C0221512,C1768507,1.0
C0221512,C0849819,2.0
C0015672,C0030193,77.0
C0015672,C0232431,1.0
C0015672,C0013456,2.0
C0015672,C0236000,2.0
C0015672,C0234238,12.0
C0015672,C0012833,41.0
C0015672,C0018681,51.0
C0015672,C0392674,18.0
C0015672,C0027497,40.0
C0015672,C1442877,1.0
C0015672,C0221423,36.0
C0015672,C0042963,10.0
C0015672,C0231218,33.0
C0015672,C0497406,8.0
C0015672,C0020175,8.0
C0015672,C0278148,1.0
C0015672,C2242996,15.0
C0015672,C0231528,18.0
C0015672,C0278144,1.0
C0015672,C0455270,4.0
C0015672,C0028643,9.0
C0015672,C0857073,1.0
C0015672,C0751372,1.0
C0015672,C2129214,1.0
C0015672,C0151825,3.0
C0015672,C0009806,11.0
C0015672,C0857027,6.0
C0015672,C1291077,12.0
C0015672,C1579931,5.0
C0015672,C0039070,15.0
C0015672,C0221232,1.0
C0015672,C0270996,2.0
C0015672,C0015230,21.0
C0015672,C3714552,42.0
C0015672,C0028084,5.0
C0015672,C0151908,4.0
C0015672,C0220870,10.0
C0015672,C0518214,2.0
C0015672,C0857057,1.0
C0015672,C0239313,1.0
C0015672,C0036572,10.0
C0015672,C0008031,10.0
C0015672,C0795691,1.0
C0015672,C0231617,10.0
C0015672,C0040822,10.0
C0015672,C0235004,6.0
C0015672,C0679309,2.0
C0015672,C0027769,8.0
C0015672,C0235309,2.0
C0015672,C0011991,9.0
C0015672,C0741585,5.0
C0015672,C0848168,1.0
C0015672,C0013404,16.0
C0015672,C0037088,6.0
C0015672,C0026821,9.0
C0015672,C0221100,1.0
C0015672,C0085593,5.0
C0015672,C0917801,9.0
C0015672,C0683369,12.0
C0015672,C0086132,1.0
C0015672,C0458118,1.0
C0015672,C0278141,1.0
C0015672,C0235318,1.0
C0015672,C0085624,14.0
C0015672,C0542476,4.0
C0015672,C0037011,4.0
C0015672,C0577573,3.0
C0015672,C0004604,18.0
C0015672,C0241705,1.0
C0015672,C0000737,6.0
C0015672,C0032781,2.0
C0015672,C0085602,1.0
C0015672,C0003862,31.0
C0015672,C0520963,1.0
C0015672,C3257803,1.0
C0015672,C0235234,2.0
C0015672,C0401149,2.0
C0015672,C0850045,1.0
C0015672,C0234369,5.0
C0015672,C0235240,1.0
C0015672,C0042571,10.0
C0015672,C0600142,5.0
C0015672,C0344232,10.0
C0015672,C0028081,11.0
C0015672,C0027424,3.0
C0015672,C0522251,1.0
C0015672,C0848633,2.0
C0015672,C0232471,2.0
C0015672,C0023380,6.0
C0015672,C0700590,3.0
C0015672,C1260880,4.0
C0015672,C0150055,1.0
C0015672,C0016512,2.0
C0015672,C0235129,1.0
C0015672,C0231749,1.0
C0015672,C1446787,2.0
C0015672,C0023222,2.0
C0015672,C0040460,1.0
C0015672,C0007859,3.0
C0015672,C0242429,15.0
C0015672,C0751295,1.0
C0015672,C1397014,1.0
C0015672,C0024031,3.0
C0015672,C0234230,5.0
C0015672,C0596601,5.0
C0015672,C1443924,2.0
C0015672,C0014724,4.0
C0015672,C0018520,1.0
C0015672,C0748706,6.0
C0015672,C1321898,2.0
C0015672,C3839047,1.0
C0015672,C0302539,5.0
C0015672,C0344375,2.0
C0015672,C1517205,3.0
C0015672,C0010200,10.0
C0015672,C0438716,2.0
C0015672,C0392171,6.0
C0015672,C0677500,5.0
C0015672,C0234229,1.0
C0015672,C0016382,5.0
C0015672,C0857245,2.0
C0015672,C0278145,4.0
C0015672,C0013395,2.0
C0015672,C0018834,9.0
C0015672,C0232292,2.0
C0015672,C0043144,2.0
C0015672,C0849959,2.0
C0015672,C1321587,3.0
C0015672,C0016204,2.0
C0015672,C0281856,2.0
C0015672,C0235108,1.0
C0015672,C0151786,6.0
C0015672,C0439053,4.0
C0015672,C0848290,2.0
C0015672,C0563277,1.0
C0015672,C0574068,2.0
C0015672,C0239377,4.0
C0015672,C0948094,1.0
C0015672,C0238741,1.0
C0015672,C2957106,2.0
C0015672,C3257980,1.0
C0015672,C0558489,1.0
C0015672,C0549343,1.0
C0015672,C0858665,1.0
C0015672,C0423571,1.0
C0015672,C0030794,5.0
C0015672,C0019559,3.0
C0015672,C1282310,2.0
C0015672,C0232491,1.0
C0015672,C0085631,3.0
C0015672,C0278007,1.0
C0015672,C0221785,1.0
C0015672,C0085636,4.0
C0015672,C0005904,1.0
C0015672,C0877716,1.0
C0015672,C0751559,1.0
C0015672,C0575090,2.0
C0015672,C0239511,1.0
C0015672,C0221758,1.0
C0015672,C0427008,5.0
C0015672,C0151315,1.0
C0015672,C0015468,1.0
C0015672,C0522359,1.0
C0015672,C0278146,5.0
C0015672,C0221170,3.0
C0015672,C0581881,1.0
C0015672,C0241898,1.0
C0015672,C0231772,1.0
C0015672,C0455770,1.0
C0015672,C0231217,3.0
C0015672,C0278139,1.0
C0015672,C0184567,2.0
C0015672,C0312422,2.0
C0015672,C0581879,2.0
C0015672,C0240327,1.0
C0015672,C0239833,1.0
C0015672,C0241494,1.0
C0015672,C2203300,1.0
C0015672,C0011124,1.0
C0015672,C2202100,1.0
C0015672,C0423693,1.0
C0015672,C0581394,1.0
C0015672,C0574002,3.0
C0015672,C0849967,1.0
C0015672,C0152031,1.0
C0015672,C0087169,2.0
C0015672,C0037317,2.0
C0015672,C0231655,2.0
C0015672,C3640015,1.0
C0015672,C0476288,2.0
C0015672,C0850630,1.0
C0015672,C0850149,3.0
C0015672,C0857126,1.0
C0015672,C0749874,1.0
C0015672,C0857233,2.0
C0015672,C0848464,1.0
C0015672,C0578454,1.0
C0015672,C0015644,3.0
C0015672,C0849795,1.0
C0015672,C0239134,1.0
C0015672,C0849970,2.0
C0015672,C0016199,1.0
C0015672,C0159028,1.0
C0015672,C0231239,1.0
C0015672,C3665346,1.0
C0015672,C0848277,2.0
C0015672,C0239836,1.0
C0015672,C0476270,1.0
C0015672,C0877495,1.0
C0015672,C1704276,1.0
C0015672,C0740903,1.0
C0015672,C2370950,1.0
C0015672,C2169806,1.0
C0015672,C0026838,1.0
C0015672,C0238656,2.0
C0015672,C0009269,1.0
C0015672,C0559687,1.0
C0015672,C0010201,1.0
C0015672,C0423572,1.0
C0015672,C0578050,1.0
C0015672,C0423669,1.0
C0015672,C0740396,1.0
C0015672,C0877462,1.0
C0015672,C0847554,2.0
C0015672,C0426359,1.0
C0015672,C0152029,1.0
C0015672,C0422833,1.0
C0015672,C0586407,1.0
C0015672,C0241165,1.0
C0015672,C0017672,2.0
C0015672,C0232495,1.0
C0015672,C0240129,1.0
C0015672,C0034886,1.0
C0015672,C0853946,1.0
C0015672,C0085632,1.0
C0015672,C0858277,1.0
C0015672,C0857199,1.0
C0015672,C0019079,1.0
C0015672,C0743229,1.0
C0015672,C0522179,1.0
C0015672,C0497293,1.0
C0015672,C0235160,1.0
C0015672,C0848337,1.0
C0015672,C0240352,1.0
C0015672,C0241050,1.0
C0015672,C0581297,1.0
C0015672,C0037090,1.0
C0015672,C0743738,1.0
C0015672,C0581909,1.0
C0015672,C2364082,1.0
C0015672,C0578994,1.0
C0015672,C0948775,1.0
C0030193,C0232431,4.0
C0030193,C0013456,19.0
C0030193,C0236000,10.0
C0030193,C0234238,82.0
C0030193,C0012833,46.0
C0030193,C0018681,85.0
C0030193,C0392674,28.0
C0030193,C0027497,80.0
C0030193,C1442877,1.0
